@relation aux
@attribute In1 numeric
@attribute In2 numeric
@attribute In3 numeric
@attribute In4 numeric
@attribute In5 numeric
@attribute In6 numeric
@attribute In7 numeric
@attribute In8 numeric
@attribute In9 numeric
@attribute In10 numeric
@attribute class {'2','3','4','5'}
@data
2,1,1,1,1,1,1,2,2,2,'3'
1,1,2,2,1,2,1,2,2,2,'3'
2,3,3,1,1,2,3,2,1,1,'4'
2,3,3,2,3,1,3,2,2,3,'4'
2,1,3,3,2,2,3,2,2,3,'3'
1,3,1,3,2,2,1,2,1,3,'3'
3,2,2,2,4,1,3,1,2,3,'4'
1,3,3,1,2,1,2,2,2,3,'4'
1,1,1,1,1,1,2,1,1,1,'2'
2,3,3,2,2,2,3,2,3,3,'4'
3,3,3,2,1,1,2,2,3,2,'4'
2,2,4,3,2,2,2,1,3,1,'4'
3,2,3,3,3,2,3,3,1,3,'5'
3,2,1,3,3,1,1,3,3,2,'4'
1,2,3,3,2,1,3,1,3,3,'4'
1,2,1,1,4,1,1,1,2,1,'3'
2,3,2,1,2,1,2,1,2,3,'5'
2,3,4,3,2,2,2,3,3,2,'4'
3,2,2,3,2,1,1,2,3,3,'4'
2,3,3,2,2,2,1,3,2,3,'5'
1,3,1,2,3,1,2,2,2,2,'4'
2,1,3,3,2,2,3,2,2,3,'5'
1,2,2,3,1,1,1,2,2,2,'4'
2,3,3,2,4,1,3,2,3,1,'4'
1,2,1,1,4,1,1,1,2,1,'4'
2,1,3,2,3,1,2,1,3,2,'4'
3,3,2,3,4,1,2,2,3,3,'4'
3,3,2,3,4,2,2,3,2,3,'5'
1,1,1,3,1,2,1,1,2,3,'3'
1,3,3,2,4,1,1,3,3,3,'5'
1,3,2,1,2,2,1,1,2,1,'3'
3,1,1,3,3,2,2,2,3,3,'5'
1,1,1,2,1,1,3,3,1,1,'3'
1,3,3,2,2,2,2,1,3,1,'4'
2,1,1,2,1,1,2,2,1,1,'3'
1,1,1,3,1,2,1,1,2,3,'2'
2,2,3,2,2,2,2,2,2,3,'5'
3,2,3,1,1,1,1,2,3,1,'4'
2,1,1,3,3,1,2,2,2,2,'3'
3,1,1,3,2,2,3,3,1,2,'3'
1,3,4,1,3,2,3,1,1,3,'4'
1,1,1,1,1,1,2,1,1,1,'2'
2,3,3,2,2,2,1,3,2,3,'5'
2,2,2,1,1,1,1,3,2,3,'3'
1,3,4,1,3,2,3,1,1,3,'4'
1,2,2,3,1,1,1,2,2,2,'5'
2,3,3,1,1,2,3,2,1,1,'4'
3,3,3,1,4,2,2,2,2,3,'4'
1,3,4,1,4,2,1,3,1,1,'4'
2,3,2,2,2,1,3,3,1,2,'3'
2,1,1,3,2,1,2,1,1,3,'2'
3,2,1,2,3,2,1,3,1,1,'3'
1,3,3,2,4,1,1,3,3,3,'4'
2,3,2,1,2,1,2,1,2,3,'5'
2,1,3,3,2,2,3,2,2,3,'3'
2,2,1,1,3,1,1,3,1,1,'3'
3,3,4,3,4,1,3,2,3,3,'5'
1,2,1,2,1,1,1,3,1,1,'2'
1,3,4,1,4,2,1,3,1,1,'3'
1,2,2,2,2,1,3,1,2,1,'3'
1,2,4,3,1,1,3,2,2,3,'5'
2,2,3,2,2,2,2,2,2,3,'4'
3,3,2,1,2,2,3,3,3,3,'5'
2,1,1,1,2,1,1,1,1,3,'3'
1,3,1,3,1,1,1,3,2,2,'3'
3,3,3,1,4,2,2,2,2,3,'4'
2,2,1,1,3,1,1,3,1,1,'3'
2,3,2,1,2,2,2,2,2,3,'3'
2,2,1,1,1,2,2,3,1,1,'2'
2,1,2,1,4,1,2,1,2,3,'3'
1,1,2,3,3,2,2,3,1,3,'4'
2,2,3,2,4,2,2,2,2,1,'4'
2,3,2,2,2,1,3,3,1,2,'4'
1,2,1,2,1,1,1,3,1,1,'3'
3,3,3,2,1,1,2,2,3,2,'4'
2,1,2,1,4,1,2,1,2,3,'4'
3,2,3,3,3,2,3,3,1,3,'5'
1,3,2,1,2,2,1,1,2,1,'4'
2,2,1,1,3,1,1,1,1,1,'3'
1,2,1,2,1,1,1,3,1,1,'2'
3,2,3,1,1,1,1,2,3,1,'4'
2,3,3,2,2,2,1,3,2,3,'4'
2,2,2,1,1,1,1,3,2,3,'3'
2,3,2,3,3,2,1,1,2,1,'3'
3,1,2,1,3,2,2,3,2,2,'3'
1,3,1,2,3,1,2,2,2,2,'3'
3,3,3,2,4,2,2,2,3,1,'5'
2,3,2,3,3,2,1,1,2,1,'2'
2,3,2,1,2,2,2,2,2,3,'3'
3,2,1,1,2,1,2,2,1,3,'3'
2,3,4,1,3,2,2,1,2,2,'4'
2,2,2,1,1,1,1,3,2,3,'4'
1,2,2,3,3,2,2,1,1,2,'3'
3,2,1,3,3,1,1,3,3,2,'3'
2,2,1,1,1,2,2,3,1,1,'3'
1,3,3,1,4,2,1,1,2,3,'2'
1,1,1,3,1,2,1,1,2,3,'3'
2,2,2,1,3,2,2,2,3,3,'4'
2,3,3,2,4,1,3,2,3,1,'5'
3,2,3,1,1,1,1,2,3,1,'4'
2,2,2,3,2,2,2,3,1,2,'4'
3,2,1,1,2,1,2,2,1,3,'3'
3,3,4,3,4,2,3,3,3,3,'5'
2,2,2,1,3,2,2,2,3,3,'5'
1,1,2,2,1,2,1,2,2,2,'3'
3,3,4,1,4,2,3,3,3,2,'5'
2,2,2,2,2,1,2,2,2,1,'3'
2,2,1,1,1,2,2,3,1,1,'3'
2,1,1,3,2,1,2,1,1,3,'2'
3,1,2,1,3,2,2,3,2,2,'5'
1,3,3,2,4,1,1,3,3,3,'5'
2,1,1,3,1,1,3,3,3,1,'3'
2,2,1,1,3,1,1,1,1,1,'3'
3,3,2,2,2,1,2,2,2,1,'3'
3,1,1,2,3,2,2,1,3,1,'3'
2,2,3,1,1,2,2,2,1,3,'4'
3,2,2,1,2,2,2,2,1,3,'4'
2,2,3,2,4,2,2,2,2,1,'5'
1,2,1,2,2,2,2,1,1,2,'3'
1,2,3,3,2,1,3,1,3,3,'5'
2,3,3,1,1,2,3,2,1,1,'3'
3,2,1,3,3,1,1,3,3,2,'3'
1,3,1,2,3,1,2,2,2,2,'4'
3,1,1,2,3,2,2,1,3,1,'4'
1,3,1,3,2,1,1,1,3,2,'3'
1,3,3,2,2,2,2,1,3,1,'4'
1,3,2,1,2,2,1,1,2,1,'4'
1,3,3,1,4,2,1,1,2,3,'5'
3,2,1,2,3,2,1,3,1,1,'3'
2,2,4,3,2,2,2,1,3,1,'4'
1,1,1,3,1,2,1,1,2,3,'3'
2,3,4,1,3,2,2,1,2,2,'4'
1,2,3,3,2,1,3,1,3,3,'4'
1,3,3,2,2,1,2,3,2,1,'3'
2,2,1,2,3,1,1,2,3,2,'3'
3,3,2,3,4,1,2,2,3,3,'4'
2,1,1,2,1,1,2,2,1,1,'3'
2,2,1,2,3,1,2,2,2,1,'4'
2,2,2,2,2,1,2,2,2,1,'3'
2,2,1,1,3,1,1,1,1,1,'3'
3,1,1,3,3,2,2,2,3,3,'3'
2,3,1,3,4,1,2,1,2,3,'5'
3,3,1,1,4,1,2,3,3,3,'5'
1,3,1,3,1,1,1,3,2,2,'3'
3,3,3,1,4,2,2,2,2,3,'3'
1,3,3,2,2,2,2,1,3,1,'4'
1,2,3,3,2,1,3,1,3,3,'5'
2,3,3,2,2,2,3,2,3,3,'4'
2,1,1,2,2,1,2,1,1,3,'3'
3,3,1,1,4,1,2,3,3,3,'5'
3,2,2,3,2,1,1,2,3,3,'3'
1,1,1,2,1,1,3,3,1,1,'3'
2,1,2,3,2,2,2,3,3,2,'4'
2,3,2,3,3,2,1,1,2,1,'3'
3,1,1,2,3,2,2,1,3,1,'3'
1,3,4,1,4,2,1,3,1,1,'4'
2,2,3,2,4,2,2,2,2,1,'4'
2,3,2,2,2,1,3,2,2,1,'4'
2,3,2,1,2,1,2,1,2,3,'4'
3,3,4,3,3,2,2,2,3,3,'5'
2,2,1,1,3,1,1,3,1,1,'3'
2,3,2,1,2,2,2,2,2,3,'4'
2,1,1,3,2,1,2,1,1,3,'2'
2,2,1,2,3,1,2,2,2,1,'3'
1,3,2,2,1,1,1,2,3,2,'4'
3,1,1,2,3,2,2,1,3,1,'4'
2,1,1,2,1,1,2,2,1,1,'3'
1,2,4,1,3,1,1,3,2,2,'4'
2,2,2,2,2,1,2,3,1,3,'4'
2,3,2,2,2,1,3,3,1,2,'4'
1,2,1,2,1,1,1,3,1,1,'3'
1,2,2,1,1,2,1,2,1,2,'3'
3,3,3,2,1,1,3,3,1,1,'4'
1,2,2,3,1,1,1,2,2,2,'4'
3,3,3,2,4,2,2,2,3,1,'3'
1,1,2,1,1,1,2,2,1,2,'3'
1,1,2,2,1,2,1,2,2,2,'3'
3,2,2,1,1,2,3,1,1,3,'3'
2,2,1,3,3,1,3,2,1,2,'3'
2,2,1,1,1,2,2,3,1,1,'3'
2,1,1,3,2,1,2,1,1,3,'4'
1,3,1,3,1,1,1,3,2,2,'4'
2,2,2,1,3,2,2,2,3,3,'5'
3,2,1,3,3,1,1,3,3,2,'3'
2,3,1,3,4,1,2,1,2,3,'3'
3,2,2,1,1,2,3,1,1,3,'4'
2,2,1,2,3,1,2,2,2,1,'3'
1,3,4,1,4,2,1,3,1,1,'4'
1,3,1,1,1,1,1,2,3,3,'3'
1,3,1,1,1,1,1,2,3,3,'3'
3,3,4,1,4,2,3,3,3,2,'5'
1,1,1,1,1,1,2,1,1,1,'2'
1,2,2,3,3,2,2,1,1,2,'3'
3,1,2,1,3,2,2,3,2,2,'3'
1,3,2,2,1,1,1,2,3,2,'3'
1,2,1,1,1,1,1,1,1,1,'3'
3,2,1,1,2,1,2,2,1,3,'5'
2,3,4,2,4,2,2,2,1,2,'3'
2,1,3,3,4,2,2,2,3,2,'5'
2,3,4,1,3,2,2,1,2,2,'4'
1,3,3,2,2,2,2,1,3,1,'4'
2,3,3,2,4,1,3,2,3,1,'5'
2,2,1,1,1,2,2,3,1,1,'4'
2,3,3,2,4,1,3,2,3,1,'4'
3,3,3,2,1,1,3,3,1,1,'3'
2,2,1,2,3,1,1,2,3,2,'4'
1,3,3,1,2,1,2,2,2,3,'3'
1,1,2,2,1,2,1,2,2,2,'3'
1,2,3,3,2,1,3,1,3,3,'4'
2,1,3,3,2,2,3,2,2,3,'5'
2,2,4,3,3,2,3,2,3,3,'5'
1,1,1,1,1,1,2,1,1,1,'3'
1,2,1,2,1,1,1,3,1,1,'3'
2,1,1,1,2,1,1,1,1,3,'3'
3,3,4,3,4,2,3,3,3,3,'5'
3,3,2,3,4,1,2,2,3,3,'5'
2,2,1,1,1,2,2,3,1,1,'3'
2,3,3,1,1,2,1,3,2,2,'4'
2,1,2,2,3,1,2,2,3,1,'3'
1,1,1,2,1,1,3,3,1,1,'3'
3,2,1,3,3,1,1,3,3,2,'4'
1,3,3,1,2,1,2,2,2,3,'4'
3,3,2,3,4,1,2,2,3,3,'5'
3,1,1,1,3,1,2,1,2,3,'3'
3,3,2,1,2,2,3,3,3,3,'5'
3,3,2,3,4,1,2,2,3,3,'4'
2,3,3,2,4,1,3,2,3,1,'4'
2,1,3,3,2,2,3,2,2,3,'4'
1,2,2,1,1,2,1,2,1,2,'3'
1,2,2,3,3,2,2,1,1,2,'4'
2,1,2,2,3,1,2,2,3,1,'3'
1,2,2,3,1,1,1,2,2,2,'4'
1,3,3,1,4,2,1,1,2,3,'4'
2,1,2,2,3,1,2,2,3,1,'3'
2,2,3,1,1,2,2,2,1,3,'5'
1,3,4,1,3,2,3,1,1,3,'4'
1,3,4,3,3,2,2,3,1,3,'4'
3,3,4,1,4,2,3,3,3,2,'5'
1,2,2,1,1,2,1,2,1,2,'3'
2,1,1,1,2,1,1,1,2,1,'4'
2,3,4,2,4,2,2,2,1,2,'4'
2,1,1,1,2,1,1,1,1,3,'2'
1,3,2,1,2,2,1,1,2,1,'2'
2,2,1,1,1,2,2,3,1,1,'3'
1,2,2,1,1,2,1,2,1,2,'3'
1,2,4,1,3,1,1,3,2,2,'4'
2,1,3,2,3,1,2,1,3,2,'3'
2,1,3,2,3,1,2,1,3,2,'3'
3,2,2,3,1,1,3,1,3,3,'5'
3,2,2,3,1,1,3,1,3,3,'5'
2,1,1,1,1,1,1,2,2,2,'3'
2,1,1,1,1,1,1,2,2,2,'3'
1,2,2,1,1,2,1,2,1,2,'3'
2,3,2,2,2,1,3,2,2,1,'5'
3,2,2,2,4,1,3,1,2,3,'4'
2,3,3,2,3,1,3,2,2,3,'5'
2,1,1,2,2,1,2,1,1,3,'4'
1,2,2,3,3,2,2,1,1,2,'4'
3,3,2,1,2,2,3,3,3,3,'5'
2,2,4,3,3,2,3,2,3,3,'5'
1,3,4,1,4,2,1,3,1,1,'5'
2,2,1,3,2,2,1,3,1,1,'4'
3,3,4,3,4,2,3,3,3,3,'5'
1,3,2,1,2,2,1,1,2,1,'4'
3,3,2,1,2,2,3,3,3,3,'4'
2,3,3,2,4,1,3,2,3,1,'5'
2,1,1,1,2,1,1,1,1,3,'2'
2,1,3,3,4,2,2,2,3,2,'5'
1,2,1,2,1,1,1,3,1,1,'3'
3,3,2,2,2,1,2,2,2,1,'4'
2,3,4,2,2,1,3,2,3,2,'4'
1,1,1,2,1,1,3,3,1,1,'3'
2,1,1,3,2,1,2,1,1,3,'2'
2,3,3,2,4,1,3,2,3,1,'4'
3,2,1,3,3,1,1,3,3,2,'4'
2,2,2,3,2,2,2,3,1,2,'3'
3,3,3,3,3,1,1,2,3,3,'5'
1,2,2,3,1,1,1,2,2,2,'4'
2,3,4,3,2,2,2,3,3,2,'4'
2,1,3,2,3,1,2,1,3,2,'4'
1,3,1,3,2,2,1,2,1,3,'3'
2,1,3,3,4,2,2,2,3,2,'5'
3,1,1,1,3,1,2,1,2,3,'2'
1,2,1,2,1,1,1,3,1,1,'3'
2,3,4,3,2,2,2,3,3,2,'3'
1,1,2,3,3,2,2,3,1,3,'5'
2,1,1,1,2,1,1,1,1,3,'2'
1,3,3,1,4,2,1,1,2,3,'4'
3,1,1,2,3,2,2,1,3,1,'3'
1,1,2,2,1,2,1,2,2,2,'3'
3,3,2,2,2,1,2,2,2,1,'3'
3,3,2,1,2,2,3,3,3,3,'5'
3,3,3,2,1,1,2,2,3,2,'3'
3,1,1,2,3,2,2,1,3,1,'4'
3,3,3,3,3,1,1,2,3,3,'5'
3,1,1,3,3,2,2,2,3,3,'3'
2,3,4,3,2,2,2,3,3,2,'4'
3,2,1,1,2,1,2,2,1,3,'4'
1,3,3,2,2,1,2,3,2,1,'4'
1,2,2,3,1,1,1,2,2,2,'3'
2,3,4,2,2,1,3,2,3,2,'5'
2,2,1,3,3,1,3,2,1,2,'4'
2,2,1,1,1,1,2,2,1,3,'4'
3,2,2,3,1,1,3,1,3,3,'4'
2,2,1,2,3,1,1,2,3,2,'4'
2,3,4,3,2,2,2,3,3,2,'3'
3,1,1,3,3,2,2,2,3,3,'4'
3,3,2,3,4,1,2,2,3,3,'5'
3,3,2,2,2,1,2,2,2,1,'4'
1,2,4,1,3,1,1,3,2,2,'4'
3,1,1,1,3,1,2,1,2,3,'4'
3,3,2,3,4,1,2,2,3,3,'5'
2,3,3,2,2,2,1,3,2,3,'5'
2,3,2,2,2,1,3,3,1,2,'3'
2,3,3,2,2,2,1,3,2,3,'5'
2,1,2,3,2,2,2,3,3,2,'4'
1,2,2,2,2,1,3,1,2,1,'3'
1,2,2,3,3,2,2,1,1,2,'4'
2,2,2,2,2,1,2,3,1,3,'3'
1,3,3,2,2,1,2,3,2,1,'4'
2,1,1,1,2,1,1,1,2,1,'3'
2,2,4,3,3,2,3,2,3,3,'5'
2,1,2,1,4,1,2,1,2,3,'3'
2,3,2,2,2,1,3,2,2,1,'5'
1,2,4,1,3,1,1,3,2,2,'5'
3,3,4,1,4,2,3,3,3,2,'4'
1,2,1,2,1,1,1,3,1,1,'2'
3,1,2,1,3,2,2,3,2,2,'4'
3,3,4,3,3,2,2,2,3,3,'5'
2,3,4,2,2,1,3,2,3,2,'4'
2,2,2,2,2,1,2,3,1,3,'5'
2,2,2,2,2,1,2,3,1,3,'4'
2,3,3,1,1,2,1,3,2,2,'4'
2,1,1,2,1,1,2,2,1,1,'3'
2,1,3,3,2,2,3,2,2,3,'4'
2,2,1,3,3,1,3,2,1,2,'4'
1,2,1,3,1,1,1,1,3,2,'4'
3,2,3,1,1,1,1,2,3,1,'4'
3,2,2,1,2,2,2,2,1,3,'5'
2,1,2,1,4,1,2,1,2,3,'4'
3,2,3,3,3,2,3,3,1,3,'5'
2,2,2,1,1,1,1,3,2,3,'3'
3,3,3,2,1,1,2,2,3,2,'4'
1,2,3,3,2,1,3,1,3,3,'5'
2,3,2,3,3,2,1,1,2,1,'5'
2,1,3,3,2,2,3,2,2,3,'5'
2,3,2,2,2,1,3,2,2,1,'3'
3,1,1,3,3,2,2,2,3,3,'4'
2,2,1,1,3,1,1,3,1,1,'3'
1,3,3,1,4,2,1,1,2,3,'3'
2,1,1,3,1,1,3,3,3,1,'3'
1,2,4,1,3,1,1,3,2,2,'4'
3,3,1,1,4,1,2,3,3,3,'3'
1,2,2,2,2,1,3,1,2,1,'3'
1,1,2,3,3,2,2,3,1,3,'5'
1,1,2,1,1,1,2,2,1,2,'4'
3,2,3,2,2,1,2,3,3,3,'4'
2,2,4,2,2,2,2,2,3,3,'5'
2,3,3,1,1,2,1,3,2,2,'4'
2,3,3,2,2,2,3,2,3,3,'4'
3,2,2,3,2,1,1,2,3,3,'5'
3,3,3,2,1,1,2,2,3,2,'4'
3,3,4,3,3,2,2,2,3,3,'5'
2,1,1,1,1,1,1,2,2,2,'4'
2,3,3,2,4,1,3,2,3,1,'4'
1,2,1,3,1,1,1,1,3,2,'3'
1,1,2,1,1,1,2,2,1,2,'3'
2,2,1,2,3,1,2,2,2,1,'3'
2,1,1,1,2,1,1,1,2,1,'3'
3,2,2,3,2,1,1,2,3,3,'3'
3,3,3,3,3,1,1,2,3,3,'4'
1,1,2,1,1,1,2,2,1,2,'4'
3,3,3,2,4,2,2,2,3,1,'4'
2,2,3,1,1,2,2,2,1,3,'3'
2,3,3,2,2,2,3,2,3,3,'4'
3,3,2,3,4,2,2,3,2,3,'5'
3,1,1,1,3,1,2,1,2,3,'3'
2,2,1,1,3,1,1,3,1,1,'3'
3,3,2,1,2,2,3,3,3,3,'5'
3,3,2,3,4,2,2,3,2,3,'5'
3,3,3,3,3,1,1,2,3,3,'5'
3,2,3,2,2,1,2,3,3,3,'3'
2,2,1,1,1,2,2,3,1,1,'4'
3,3,4,3,4,2,3,3,3,3,'5'
2,1,1,3,1,1,3,3,3,1,'3'
1,3,3,1,4,2,1,1,2,3,'4'
2,2,3,2,2,2,2,2,2,3,'5'
1,1,1,2,1,1,3,3,1,1,'3'
1,2,1,1,4,1,1,1,2,1,'3'
1,3,1,1,1,1,1,2,3,3,'3'
2,3,3,1,1,2,1,3,2,2,'4'
2,2,1,1,1,2,2,3,1,1,'3'
2,3,2,1,2,2,2,2,2,3,'5'
3,2,2,3,2,1,1,2,3,3,'4'
2,2,2,1,1,1,1,3,2,3,'4'
3,2,4,1,2,1,3,2,2,2,'3'
1,1,2,2,1,2,1,2,2,2,'3'
2,2,2,2,2,1,2,2,2,1,'3'
1,2,1,3,1,1,1,1,3,2,'3'
2,1,2,1,4,1,2,1,2,3,'3'
2,1,2,3,2,2,2,3,3,2,'3'
1,3,4,1,4,2,1,3,1,1,'4'
1,2,1,1,4,1,1,1,2,1,'4'
2,2,4,2,2,2,2,2,3,3,'5'
2,3,4,2,4,2,2,2,1,2,'5'
2,3,2,2,2,1,3,3,1,2,'4'
3,1,2,1,3,2,2,3,2,2,'4'
1,3,1,3,2,1,1,1,3,2,'3'
1,1,2,3,3,2,2,3,1,3,'5'
1,3,1,3,2,1,1,1,3,2,'3'
2,2,4,2,2,2,2,2,3,3,'5'
1,3,4,1,3,2,3,1,1,3,'5'
2,3,3,2,2,2,3,2,3,3,'5'
2,1,2,2,3,1,2,2,3,1,'3'
2,1,2,2,3,1,2,2,3,1,'3'
1,3,4,1,4,2,1,3,1,1,'4'
2,2,2,1,4,2,1,3,1,2,'4'
1,2,3,3,2,1,3,1,3,3,'5'
2,2,4,2,2,2,2,2,3,3,'5'
3,3,3,2,1,1,3,3,1,1,'4'
2,1,3,2,3,1,2,1,3,2,'4'
1,3,3,2,2,2,2,1,3,1,'4'
2,3,2,3,3,2,1,1,2,1,'3'
3,2,1,3,3,1,1,3,3,2,'3'
2,3,2,2,2,1,3,3,1,2,'4'
1,2,1,3,1,1,1,1,3,2,'4'
2,3,3,2,3,1,3,2,2,3,'5'
2,3,3,2,2,2,3,2,3,3,'5'
