@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'1','2'}
@data
'Clerk','Farm_Laborer','nonintact','white',1.4,'1'
'Salesman-Retail','Professional_Self-Employed','nonintact','white',0,'1'
'Salesman-Retail','Professional-Salaried','nonintact','white',16.2,'1'
'Salesman-Retail','Manager','nonintact','white',3.3,'1'
'Salesman-Retail','Salesman-Nonretail','nonintact','white',2.5,'1'
'Salesman-Retail','Proprietor','nonintact','white',0,'1'
'Salesman-Retail','Clerk','nonintact','white',11.4,'1'
'Salesman-Retail','Salesman-Retail','nonintact','white',5.9,'1'
'Salesman-Retail','Craftsman-Manufacturing','nonintact','white',2.3,'1'
'Salesman-Retail','Craftsmen-Other','nonintact','white',5.5,'1'
'Salesman-Retail','Craftsman-Construction','nonintact','white',2.3,'1'
'Salesman-Retail','Service_Worker','nonintact','white',4,'1'
'Salesman-Retail','Operative-Nonmanufacturing','nonintact','white',10.6,'1'
'Salesman-Retail','Operative-Manufacturing','nonintact','white',8.4,'1'
'Salesman-Retail','Laborer-Manufacturing','nonintact','white',1.6,'1'
'Salesman-Retail','Laborer-Nonmanufacturing','nonintact','white',6.8,'1'
'Salesman-Retail','Farmer/Farm_Manager','nonintact','white',0,'1'
'Salesman-Retail','Farm_Laborer','nonintact','white',0,'1'
'Craftsman-Manufacturing','Professional_Self-Employed','nonintact','white',0,'1'
'Craftsman-Manufacturing','Professional-Salaried','nonintact','white',10.6,'1'
'Craftsman-Manufacturing','Manager','nonintact','white',2.6,'1'
'Craftsman-Manufacturing','Salesman-Nonretail','nonintact','white',0.8,'1'
'Craftsman-Manufacturing','Proprietor','nonintact','white',0,'1'
'Craftsman-Manufacturing','Clerk','nonintact','white',9.6,'1'
'Craftsman-Manufacturing','Salesman-Retail','nonintact','white',3.7,'1'
'Craftsman-Manufacturing','Craftsman-Manufacturing','nonintact','white',7,'1'
'Craftsman-Manufacturing','Craftsmen-Other','nonintact','white',3.4,'1'
'Craftsman-Manufacturing','Craftsman-Construction','nonintact','white',2.5,'1'
'Craftsman-Manufacturing','Service_Worker','nonintact','white',4.8,'1'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','nonintact','white',9.2,'1'
'Craftsman-Manufacturing','Operative-Manufacturing','nonintact','white',16.8,'1'
'Craftsman-Manufacturing','Laborer-Manufacturing','nonintact','white',3.2,'1'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',3.1,'1'
'Craftsman-Manufacturing','Farmer/Farm_Manager','nonintact','white',0.7,'1'
'Craftsman-Manufacturing','Farm_Laborer','nonintact','white',3.1,'1'
'Craftsmen-Other','Professional_Self-Employed','nonintact','white',0,'1'
'Craftsmen-Other','Professional-Salaried','nonintact','white',15.1,'1'
'Craftsmen-Other','Manager','nonintact','white',4.1,'1'
'Craftsmen-Other','Salesman-Nonretail','nonintact','white',1.7,'1'
'Craftsmen-Other','Proprietor','nonintact','white',0.8,'1'
'Craftsmen-Other','Clerk','nonintact','white',8.8,'1'
'Craftsmen-Other','Salesman-Retail','nonintact','white',4.2,'1'
'Craftsmen-Other','Craftsman-Manufacturing','nonintact','white',3.9,'1'
'Craftsmen-Other','Craftsmen-Other','nonintact','white',8.6,'1'
'Craftsmen-Other','Craftsman-Construction','nonintact','white',4.3,'1'
'Craftsmen-Other','Service_Worker','nonintact','white',6.5,'1'
'Craftsmen-Other','Operative-Nonmanufacturing','nonintact','white',18.3,'1'
'Craftsmen-Other','Operative-Manufacturing','nonintact','white',11.5,'1'
'Craftsmen-Other','Laborer-Manufacturing','nonintact','white',5.8,'1'
'Craftsmen-Other','Laborer-Nonmanufacturing','nonintact','white',6,'1'
'Craftsmen-Other','Farmer/Farm_Manager','nonintact','white',0,'1'
'Craftsmen-Other','Farm_Laborer','nonintact','white',5,'1'
'Craftsman-Construction','Professional_Self-Employed','nonintact','white',0,'1'
'Craftsman-Construction','Professional-Salaried','nonintact','white',4.6,'1'
'Craftsman-Construction','Manager','nonintact','white',1.9,'1'
'Craftsman-Construction','Salesman-Nonretail','nonintact','white',0.9,'1'
'Craftsman-Construction','Proprietor','nonintact','white',0.8,'1'
'Craftsman-Construction','Clerk','nonintact','white',10.4,'1'
'Craftsman-Construction','Salesman-Retail','nonintact','white',2.3,'1'
'Craftsman-Construction','Craftsman-Manufacturing','nonintact','white',6.6,'1'
'Craftsman-Construction','Craftsmen-Other','nonintact','white',5.8,'1'
'Craftsman-Construction','Craftsman-Construction','nonintact','white',8.1,'1'
'Craftsman-Construction','Service_Worker','nonintact','white',3.8,'1'
'Craftsman-Construction','Operative-Nonmanufacturing','nonintact','white',12.8,'1'
'Craftsman-Construction','Operative-Manufacturing','nonintact','white',13,'1'
'Craftsman-Construction','Laborer-Manufacturing','nonintact','white',0.9,'1'
'Craftsman-Construction','Laborer-Nonmanufacturing','nonintact','white',14,'1'
'Craftsman-Construction','Farmer/Farm_Manager','nonintact','white',0,'1'
'Craftsman-Construction','Farm_Laborer','nonintact','white',4.4,'1'
'Service_Worker','Professional_Self-Employed','nonintact','white',4.2,'1'
'Service_Worker','Professional-Salaried','nonintact','white',30.5,'2'
'Service_Worker','Manager','nonintact','white',13.3,'2'
'Service_Worker','Salesman-Nonretail','nonintact','white',3,'1'
'Service_Worker','Proprietor','nonintact','white',0.9,'1'
'Service_Worker','Clerk','nonintact','white',40.7,'2'
'Service_Worker','Salesman-Retail','nonintact','white',15.6,'1'
'Service_Worker','Craftsman-Manufacturing','nonintact','white',13.7,'2'
'Service_Worker','Craftsmen-Other','nonintact','white',22.9,'2'
'Service_Worker','Craftsman-Construction','nonintact','white',13.1,'2'
'Service_Worker','Service_Worker','nonintact','white',21.5,'2'
'Service_Worker','Operative-Nonmanufacturing','nonintact','white',37.5,'2'
'Service_Worker','Operative-Manufacturing','nonintact','white',39.3,'2'
'Service_Worker','Laborer-Manufacturing','nonintact','white',13,'1'
'Service_Worker','Laborer-Nonmanufacturing','nonintact','white',36.2,'2'
'Service_Worker','Farmer/Farm_Manager','nonintact','white',0.9,'1'
'Service_Worker','Farm_Laborer','nonintact','white',18.9,'1'
'Operative-Nonmanufacturing','Professional_Self-Employed','nonintact','white',0.7,'1'
'Operative-Nonmanufacturing','Professional-Salaried','nonintact','white',12.5,'1'
'Operative-Nonmanufacturing','Manager','nonintact','white',6,'2'
'Operative-Nonmanufacturing','Salesman-Nonretail','nonintact','white',0.8,'1'
'Operative-Nonmanufacturing','Proprietor','nonintact','white',0,'1'
'Operative-Nonmanufacturing','Clerk','nonintact','white',19.5,'1'
'Operative-Nonmanufacturing','Salesman-Retail','nonintact','white',8.4,'1'
'Operative-Nonmanufacturing','Craftsman-Manufacturing','nonintact','white',8,'1'
'Operative-Nonmanufacturing','Craftsmen-Other','nonintact','white',11.1,'2'
'Operative-Nonmanufacturing','Craftsman-Construction','nonintact','white',4.1,'1'
'Operative-Nonmanufacturing','Service_Worker','nonintact','white',11.1,'1'
'Operative-Nonmanufacturing','Operative-Nonmanufacturing','nonintact','white',51.5,'2'
'Operative-Nonmanufacturing','Operative-Manufacturing','nonintact','white',23,'2'
'Operative-Nonmanufacturing','Laborer-Manufacturing','nonintact','white',8.2,'1'
'Operative-Nonmanufacturing','Laborer-Nonmanufacturing','nonintact','white',13,'1'
'Operative-Nonmanufacturing','Farmer/Farm_Manager','nonintact','white',1.7,'1'
'Operative-Nonmanufacturing','Farm_Laborer','nonintact','white',7.1,'1'
'Operative-Manufacturing','Professional_Self-Employed','nonintact','white',1.6,'1'
'Operative-Manufacturing','Professional-Salaried','nonintact','white',25.7,'2'
'Operative-Manufacturing','Manager','nonintact','white',8,'2'
'Operative-Manufacturing','Salesman-Nonretail','nonintact','white',5.6,'1'
'Operative-Manufacturing','Proprietor','nonintact','white',0.7,'1'
'Operative-Manufacturing','Clerk','nonintact','white',29.7,'2'
'Operative-Manufacturing','Salesman-Retail','nonintact','white',6.2,'1'
'Operative-Manufacturing','Craftsman-Manufacturing','nonintact','white',14.1,'2'
'Operative-Manufacturing','Craftsmen-Other','nonintact','white',14.4,'2'
'Operative-Manufacturing','Craftsman-Construction','nonintact','white',7,'1'
'Operative-Manufacturing','Service_Worker','nonintact','white',10.8,'1'
'Operative-Manufacturing','Operative-Nonmanufacturing','nonintact','white',30.4,'2'
'Operative-Manufacturing','Operative-Manufacturing','nonintact','white',68.3,'2'
'Operative-Manufacturing','Laborer-Manufacturing','nonintact','white',13.4,'1'
'Operative-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',22.3,'1'
'Operative-Manufacturing','Farmer/Farm_Manager','nonintact','white',3.3,'1'
'Operative-Manufacturing','Farm_Laborer','nonintact','white',3.2,'1'
'Laborer-Manufacturing','Professional_Self-Employed','nonintact','white',0,'1'
'Laborer-Manufacturing','Professional-Salaried','nonintact','white',1.8,'1'
'Laborer-Manufacturing','Manager','nonintact','white',0.8,'1'
'Laborer-Manufacturing','Salesman-Nonretail','nonintact','white',1,'1'
'Laborer-Manufacturing','Proprietor','nonintact','white',0,'1'
'Laborer-Manufacturing','Clerk','nonintact','white',2.3,'1'
'Laborer-Manufacturing','Salesman-Retail','nonintact','white',2.4,'1'
'Laborer-Manufacturing','Craftsman-Manufacturing','nonintact','white',0.4,'1'
'Laborer-Manufacturing','Craftsmen-Other','nonintact','white',1.5,'1'
'Laborer-Manufacturing','Craftsman-Construction','nonintact','white',0.8,'1'
'Laborer-Manufacturing','Service_Worker','nonintact','white',2.5,'1'
'Laborer-Manufacturing','Operative-Nonmanufacturing','nonintact','white',3,'1'
'Laborer-Manufacturing','Operative-Manufacturing','nonintact','white',8.8,'1'
'Laborer-Manufacturing','Laborer-Manufacturing','nonintact','white',5.2,'1'
'Laborer-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',1.4,'1'
'Laborer-Manufacturing','Farmer/Farm_Manager','nonintact','white',0,'1'
'Laborer-Manufacturing','Farm_Laborer','nonintact','white',0.4,'1'
'Laborer-Nonmanufacturing','Professional_Self-Employed','nonintact','white',0,'1'
'Laborer-Nonmanufacturing','Professional-Salaried','nonintact','white',2.6,'1'
'Laborer-Nonmanufacturing','Manager','nonintact','white',0,'1'
'Laborer-Nonmanufacturing','Salesman-Nonretail','nonintact','white',0,'1'
'Laborer-Nonmanufacturing','Proprietor','nonintact','white',0,'1'
'Laborer-Nonmanufacturing','Clerk','nonintact','white',5.4,'1'
'Laborer-Nonmanufacturing','Salesman-Retail','nonintact','white',1.6,'1'
'Laborer-Nonmanufacturing','Craftsman-Manufacturing','nonintact','white',6.6,'1'
'Laborer-Nonmanufacturing','Craftsmen-Other','nonintact','white',0.8,'1'
'Laborer-Nonmanufacturing','Craftsman-Construction','nonintact','white',1.6,'1'
'Laborer-Nonmanufacturing','Service_Worker','nonintact','white',0.7,'1'
'Laborer-Nonmanufacturing','Operative-Nonmanufacturing','nonintact','white',6.9,'1'
'Laborer-Nonmanufacturing','Operative-Manufacturing','nonintact','white',7.3,'1'
'Laborer-Nonmanufacturing','Laborer-Manufacturing','nonintact','white',2.4,'1'
'Laborer-Nonmanufacturing','Laborer-Nonmanufacturing','nonintact','white',15,'1'
'Laborer-Nonmanufacturing','Farmer/Farm_Manager','nonintact','white',0,'1'
'Laborer-Nonmanufacturing','Farm_Laborer','nonintact','white',3.4,'1'
'Farmer/Farm_Manager','Professional_Self-Employed','nonintact','white',0.8,'1'
'Farmer/Farm_Manager','Professional-Salaried','nonintact','white',16.9,'1'
'Farmer/Farm_Manager','Manager','nonintact','white',5.1,'2'
'Farmer/Farm_Manager','Salesman-Nonretail','nonintact','white',4.1,'1'
'Farmer/Farm_Manager','Proprietor','nonintact','white',0.8,'1'
'Farmer/Farm_Manager','Clerk','nonintact','white',8.6,'1'
'Farmer/Farm_Manager','Salesman-Retail','nonintact','white',8.7,'1'
'Farmer/Farm_Manager','Craftsman-Manufacturing','nonintact','white',6.2,'2'
'Farmer/Farm_Manager','Craftsmen-Other','nonintact','white',12.8,'2'
'Farmer/Farm_Manager','Craftsman-Construction','nonintact','white',14.7,'2'
'Farmer/Farm_Manager','Service_Worker','nonintact','white',10.1,'2'
'Farmer/Farm_Manager','Operative-Nonmanufacturing','nonintact','white',29.7,'2'
'Farmer/Farm_Manager','Operative-Manufacturing','nonintact','white',37.1,'2'
'Farmer/Farm_Manager','Laborer-Manufacturing','nonintact','white',17,'1'
'Farmer/Farm_Manager','Laborer-Nonmanufacturing','nonintact','white',28,'1'
'Farmer/Farm_Manager','Farmer/Farm_Manager','nonintact','white',29,'2'
'Farmer/Farm_Manager','Farm_Laborer','nonintact','white',88.6,'1'
'Farm_Laborer','Professional_Self-Employed','nonintact','white',0,'1'
'Farm_Laborer','Professional-Salaried','nonintact','white',5.5,'1'
'Farm_Laborer','Manager','nonintact','white',0,'1'
'Farm_Laborer','Salesman-Nonretail','nonintact','white',0,'1'
'Farm_Laborer','Proprietor','nonintact','white',0,'1'
'Farm_Laborer','Clerk','nonintact','white',5.7,'1'
'Farm_Laborer','Salesman-Retail','nonintact','white',2.1,'1'
'Farm_Laborer','Craftsman-Manufacturing','nonintact','white',3.7,'1'
'Farm_Laborer','Craftsmen-Other','nonintact','white',8.8,'1'
'Farm_Laborer','Craftsman-Construction','nonintact','white',0.7,'1'
'Farm_Laborer','Service_Worker','nonintact','white',2.4,'1'
'Farm_Laborer','Operative-Nonmanufacturing','nonintact','white',5.1,'1'
'Farm_Laborer','Operative-Manufacturing','nonintact','white',9.3,'2'
'Farm_Laborer','Laborer-Manufacturing','nonintact','white',8.1,'1'
'Farm_Laborer','Laborer-Nonmanufacturing','nonintact','white',9.4,'1'
'Farm_Laborer','Farmer/Farm_Manager','nonintact','white',2,'1'
'Farm_Laborer','Farm_Laborer','nonintact','white',46.2,'1'
'Professional_Self-Employed','Professional_Self-Employed','intact','black',1.2,'1'
'Professional_Self-Employed','Professional-Salaried','intact','black',0.9,'1'
'Professional_Self-Employed','Manager','intact','black',0.5,'1'
'Professional_Self-Employed','Salesman-Nonretail','intact','black',0,'1'
'Professional_Self-Employed','Proprietor','intact','black',0,'1'
'Professional_Self-Employed','Clerk','intact','black',1.1,'1'
'Professional_Self-Employed','Salesman-Retail','intact','black',0.6,'1'
'Professional_Self-Employed','Craftsman-Manufacturing','intact','black',0,'1'
'Professional_Self-Employed','Craftsmen-Other','intact','black',0,'1'
'Professional_Self-Employed','Craftsman-Construction','intact','black',0,'1'
'Professional_Self-Employed','Service_Worker','intact','black',0,'1'
'Professional_Self-Employed','Operative-Nonmanufacturing','intact','black',0,'1'
'Professional_Self-Employed','Operative-Manufacturing','intact','black',0.4,'1'
'Professional_Self-Employed','Laborer-Manufacturing','intact','black',0,'1'
'Professional_Self-Employed','Laborer-Nonmanufacturing','intact','black',0,'1'
'Professional_Self-Employed','Farmer/Farm_Manager','intact','black',0,'1'
'Professional_Self-Employed','Farm_Laborer','intact','black',0.5,'1'
'Professional-Salaried','Professional_Self-Employed','intact','black',0.6,'1'
'Professional-Salaried','Professional-Salaried','intact','black',8.6,'1'
'Professional-Salaried','Manager','intact','black',2,'1'
'Professional-Salaried','Salesman-Nonretail','intact','black',0.9,'1'
'Professional-Salaried','Proprietor','intact','black',0,'1'
'Professional-Salaried','Clerk','intact','black',2.6,'1'
'Professional-Salaried','Salesman-Retail','intact','black',1,'1'
'Professional-Salaried','Craftsman-Manufacturing','intact','black',0.6,'1'
'Professional-Salaried','Craftsmen-Other','intact','black',0,'1'
'Professional-Salaried','Craftsman-Construction','intact','black',0,'1'
'Professional-Salaried','Service_Worker','intact','black',3.6,'1'
'Professional-Salaried','Operative-Nonmanufacturing','intact','black',1.7,'1'
'Professional-Salaried','Operative-Manufacturing','intact','black',1.8,'1'
'Professional-Salaried','Laborer-Manufacturing','intact','black',1.1,'1'
'Professional-Salaried','Laborer-Nonmanufacturing','intact','black',0.9,'1'
'Professional-Salaried','Farmer/Farm_Manager','intact','black',0,'1'
'Professional-Salaried','Farm_Laborer','intact','black',0.7,'1'
'Manager','Professional_Self-Employed','intact','black',0,'1'
'Manager','Professional-Salaried','intact','black',2.2,'1'
'Manager','Manager','intact','black',0,'1'
'Manager','Salesman-Nonretail','intact','black',0,'1'
'Manager','Proprietor','intact','black',0,'1'
'Manager','Clerk','intact','black',2.4,'1'
'Manager','Salesman-Retail','intact','black',1.3,'1'
'Manager','Craftsman-Manufacturing','intact','black',0,'1'
'Manager','Craftsmen-Other','intact','black',0.6,'1'
'Manager','Craftsman-Construction','intact','black',0,'1'
'Manager','Service_Worker','intact','black',0.7,'1'
'Manager','Operative-Nonmanufacturing','intact','black',0.5,'1'
'Manager','Operative-Manufacturing','intact','black',0.4,'1'
'Manager','Laborer-Manufacturing','intact','black',0,'1'
'Manager','Laborer-Nonmanufacturing','intact','black',1.2,'1'
'Manager','Farmer/Farm_Manager','intact','black',0,'1'
'Manager','Farm_Laborer','intact','black',0,'1'
'Salesman-Nonretail','Professional_Self-Employed','intact','black',0,'1'
'Salesman-Nonretail','Professional-Salaried','intact','black',1.3,'1'
'Salesman-Nonretail','Manager','intact','black',0.7,'1'
'Salesman-Nonretail','Salesman-Nonretail','intact','black',0,'1'
'Salesman-Nonretail','Proprietor','intact','black',0,'1'
'Salesman-Nonretail','Clerk','intact','black',0.5,'1'
'Salesman-Nonretail','Salesman-Retail','intact','black',0,'1'
'Salesman-Nonretail','Craftsman-Manufacturing','intact','black',0,'1'
'Salesman-Nonretail','Craftsmen-Other','intact','black',0,'1'
'Salesman-Nonretail','Craftsman-Construction','intact','black',0,'1'
'Salesman-Nonretail','Service_Worker','intact','black',0,'1'
'Salesman-Nonretail','Operative-Nonmanufacturing','intact','black',0.6,'1'
'Salesman-Nonretail','Operative-Manufacturing','intact','black',0,'1'
'Salesman-Nonretail','Laborer-Manufacturing','intact','black',0,'1'
'Salesman-Nonretail','Laborer-Nonmanufacturing','intact','black',0,'1'
'Salesman-Nonretail','Farmer/Farm_Manager','intact','black',0,'1'
'Salesman-Nonretail','Farm_Laborer','intact','black',0,'1'
'Proprietor','Professional_Self-Employed','intact','black',0,'1'
'Proprietor','Professional-Salaried','intact','black',1.3,'1'
'Proprietor','Manager','intact','black',0.6,'1'
'Proprietor','Salesman-Nonretail','intact','black',0.5,'1'
'Proprietor','Proprietor','intact','black',0.5,'1'
'Proprietor','Clerk','intact','black',1.1,'1'
'Proprietor','Salesman-Retail','intact','black',0,'1'
'Proprietor','Craftsman-Manufacturing','intact','black',0.4,'1'
'Proprietor','Craftsmen-Other','intact','black',0.6,'1'
'Proprietor','Craftsman-Construction','intact','black',0.9,'1'
'Proprietor','Service_Worker','intact','black',2,'1'
'Proprietor','Operative-Nonmanufacturing','intact','black',0.8,'1'
'Proprietor','Operative-Manufacturing','intact','black',2.9,'1'
'Proprietor','Laborer-Manufacturing','intact','black',0,'1'
'Proprietor','Laborer-Nonmanufacturing','intact','black',0.4,'1'
'Proprietor','Farmer/Farm_Manager','intact','black',0,'1'
'Proprietor','Farm_Laborer','intact','black',0,'1'
'Clerk','Professional_Self-Employed','intact','black',0.4,'1'
'Clerk','Professional-Salaried','intact','black',3.6,'1'
'Clerk','Manager','intact','black',0.6,'1'
'Clerk','Salesman-Nonretail','intact','black',0,'1'
'Clerk','Proprietor','intact','black',0,'1'
'Clerk','Clerk','intact','black',6.3,'1'
'Clerk','Salesman-Retail','intact','black',0.4,'1'
'Clerk','Craftsman-Manufacturing','intact','black',1.3,'1'
'Clerk','Craftsmen-Other','intact','black',2.9,'1'
'Clerk','Craftsman-Construction','intact','black',0,'1'
'Clerk','Service_Worker','intact','black',4.3,'1'
'Clerk','Operative-Nonmanufacturing','intact','black',2.9,'1'
'Clerk','Operative-Manufacturing','intact','black',5.7,'1'
'Clerk','Laborer-Manufacturing','intact','black',1.8,'1'
'Clerk','Laborer-Nonmanufacturing','intact','black',0,'1'
'Clerk','Farmer/Farm_Manager','intact','black',0,'1'
'Clerk','Farm_Laborer','intact','black',0.9,'1'
'Salesman-Retail','Professional_Self-Employed','intact','black',0,'1'
'Salesman-Retail','Professional-Salaried','intact','black',0,'1'
'Salesman-Retail','Manager','intact','black',0,'1'
'Salesman-Retail','Salesman-Nonretail','intact','black',0,'1'
'Salesman-Retail','Proprietor','intact','black',0,'1'
'Salesman-Retail','Clerk','intact','black',0.5,'1'
'Salesman-Retail','Salesman-Retail','intact','black',0.6,'1'
'Salesman-Retail','Craftsman-Manufacturing','intact','black',0,'1'
'Salesman-Retail','Craftsmen-Other','intact','black',0.5,'1'
'Salesman-Retail','Craftsman-Construction','intact','black',0,'1'
'Salesman-Retail','Service_Worker','intact','black',0,'1'
'Salesman-Retail','Operative-Nonmanufacturing','intact','black',0.5,'1'
'Salesman-Retail','Operative-Manufacturing','intact','black',0.8,'1'
'Salesman-Retail','Laborer-Manufacturing','intact','black',0,'1'
'Salesman-Retail','Laborer-Nonmanufacturing','intact','black',1.4,'1'
'Salesman-Retail','Farmer/Farm_Manager','intact','black',0,'1'
'Salesman-Retail','Farm_Laborer','intact','black',0,'1'
'Craftsman-Manufacturing','Professional_Self-Employed','intact','black',0,'1'
'Craftsman-Manufacturing','Professional-Salaried','intact','black',3.2,'1'
'Craftsman-Manufacturing','Manager','intact','black',0,'1'
'Craftsman-Manufacturing','Salesman-Nonretail','intact','black',0.8,'1'
'Craftsman-Manufacturing','Proprietor','intact','black',0,'1'
'Craftsman-Manufacturing','Clerk','intact','black',6.5,'1'
'Craftsman-Manufacturing','Salesman-Retail','intact','black',1.9,'1'
'Craftsman-Manufacturing','Craftsman-Manufacturing','intact','black',1.5,'1'
'Craftsman-Manufacturing','Craftsmen-Other','intact','black',0.6,'1'
'Craftsman-Manufacturing','Craftsman-Construction','intact','black',1,'1'
'Craftsman-Manufacturing','Service_Worker','intact','black',2.7,'1'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','intact','black',2,'1'
'Craftsman-Manufacturing','Operative-Manufacturing','intact','black',7.5,'1'
'Craftsman-Manufacturing','Laborer-Manufacturing','intact','black',3.7,'1'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','intact','black',5.2,'1'
'Craftsman-Manufacturing','Farmer/Farm_Manager','intact','black',0,'1'
'Craftsman-Manufacturing','Farm_Laborer','intact','black',0,'1'
'Craftsmen-Other','Professional_Self-Employed','intact','black',0,'1'
'Craftsmen-Other','Professional-Salaried','intact','black',5.1,'1'
'Craftsmen-Other','Manager','intact','black',2.2,'1'
'Craftsmen-Other','Salesman-Nonretail','intact','black',1,'1'
'Craftsmen-Other','Proprietor','intact','black',0.6,'1'
'Craftsmen-Other','Clerk','intact','black',6.8,'1'
'Craftsmen-Other','Salesman-Retail','intact','black',1,'1'
'Craftsmen-Other','Craftsman-Manufacturing','intact','black',1.5,'1'
'Craftsmen-Other','Craftsmen-Other','intact','black',2.6,'1'
'Craftsmen-Other','Craftsman-Construction','intact','black',1.1,'1'
'Craftsmen-Other','Service_Worker','intact','black',5.1,'1'
'Craftsmen-Other','Operative-Nonmanufacturing','intact','black',8.4,'1'
'Craftsmen-Other','Operative-Manufacturing','intact','black',9.3,'1'
'Craftsmen-Other','Laborer-Manufacturing','intact','black',3.5,'1'
'Craftsmen-Other','Laborer-Nonmanufacturing','intact','black',4,'1'
'Craftsmen-Other','Farmer/Farm_Manager','intact','black',0,'1'
'Craftsmen-Other','Farm_Laborer','intact','black',2.1,'1'
'Craftsman-Construction','Professional_Self-Employed','intact','black',0.5,'1'
'Craftsman-Construction','Professional-Salaried','intact','black',4.1,'1'
'Craftsman-Construction','Manager','intact','black',3,'1'
'Craftsman-Construction','Salesman-Nonretail','intact','black',1.1,'1'
'Craftsman-Construction','Proprietor','intact','black',0,'1'
'Craftsman-Construction','Clerk','intact','black',5.2,'1'
'Craftsman-Construction','Salesman-Retail','intact','black',0,'1'
'Craftsman-Construction','Craftsman-Manufacturing','intact','black',1.1,'1'
'Craftsman-Construction','Craftsmen-Other','intact','black',0,'1'
'Craftsman-Construction','Craftsman-Construction','intact','black',6.7,'1'
'Craftsman-Construction','Service_Worker','intact','black',4.2,'1'
'Craftsman-Construction','Operative-Nonmanufacturing','intact','black',8.3,'1'
'Craftsman-Construction','Operative-Manufacturing','intact','black',10.5,'1'
'Craftsman-Construction','Laborer-Manufacturing','intact','black',4,'1'
'Craftsman-Construction','Laborer-Nonmanufacturing','intact','black',6.2,'1'
'Craftsman-Construction','Farmer/Farm_Manager','intact','black',0,'1'
'Craftsman-Construction','Farm_Laborer','intact','black',1.4,'1'
'Service_Worker','Professional_Self-Employed','intact','black',0.5,'1'
'Service_Worker','Professional-Salaried','intact','black',6.4,'1'
'Service_Worker','Manager','intact','black',1.6,'1'
'Service_Worker','Salesman-Nonretail','intact','black',0.4,'1'
'Service_Worker','Proprietor','intact','black',0,'1'
'Service_Worker','Clerk','intact','black',10.2,'1'
'Service_Worker','Salesman-Retail','intact','black',0.9,'1'
'Service_Worker','Craftsman-Manufacturing','intact','black',1,'1'
'Service_Worker','Craftsmen-Other','intact','black',5.4,'1'
'Service_Worker','Craftsman-Construction','intact','black',2.7,'1'
'Service_Worker','Service_Worker','intact','black',13.7,'1'
'Service_Worker','Operative-Nonmanufacturing','intact','black',10.8,'1'
'Service_Worker','Operative-Manufacturing','intact','black',11.3,'1'
'Service_Worker','Laborer-Manufacturing','intact','black',3.7,'1'
'Service_Worker','Laborer-Nonmanufacturing','intact','black',10.4,'1'
'Service_Worker','Farmer/Farm_Manager','intact','black',0,'1'
'Service_Worker','Farm_Laborer','intact','black',2,'1'
'Operative-Nonmanufacturing','Professional_Self-Employed','intact','black',0,'1'
'Operative-Nonmanufacturing','Professional-Salaried','intact','black',8.7,'1'
'Operative-Nonmanufacturing','Manager','intact','black',2.1,'1'
'Operative-Nonmanufacturing','Salesman-Nonretail','intact','black',1.8,'1'
'Operative-Nonmanufacturing','Proprietor','intact','black',0.5,'1'
'Operative-Nonmanufacturing','Clerk','intact','black',11.3,'1'
'Operative-Nonmanufacturing','Salesman-Retail','intact','black',2.8,'1'
'Operative-Nonmanufacturing','Craftsman-Manufacturing','intact','black',3.9,'1'
'Operative-Nonmanufacturing','Craftsmen-Other','intact','black',5,'1'
'Operative-Nonmanufacturing','Craftsman-Construction','intact','black',2.2,'1'
'Operative-Nonmanufacturing','Service_Worker','intact','black',13,'1'
'Operative-Nonmanufacturing','Operative-Nonmanufacturing','intact','black',20.4,'1'
'Operative-Nonmanufacturing','Operative-Manufacturing','intact','black',13.2,'1'
'Operative-Nonmanufacturing','Laborer-Manufacturing','intact','black',3.5,'1'
'Operative-Nonmanufacturing','Laborer-Nonmanufacturing','intact','black',10.5,'1'
'Operative-Nonmanufacturing','Farmer/Farm_Manager','intact','black',0,'1'
'Operative-Nonmanufacturing','Farm_Laborer','intact','black',3.9,'1'
'Operative-Manufacturing','Professional_Self-Employed','intact','black',0,'1'
'Operative-Manufacturing','Professional-Salaried','intact','black',4.2,'1'
'Operative-Manufacturing','Manager','intact','black',1.1,'1'
