@relation aux
@attribute Bit.0 {'0','1'}
@attribute Bit.1 {'0','1'}
@attribute Bit.2 {'0','1'}
@attribute Bit.3 {'0','1'}
@attribute Bit.4 {'0','1'}
@attribute Bit.5 {'0','1'}
@attribute Bit.6 {'0','1'}
@attribute Bit.7 {'0','1'}
@attribute Bit.8 {'0','1'}
@attribute Bit.9 {'0','1'}
@attribute class {'1','2'}
@data
'0','1','0','1','0','0','1','0','1','1','2'
'1','0','1','0','0','0','1','1','1','0','2'
'0','1','1','0','1','0','0','0','0','1','1'
'1','0','0','1','0','1','1','0','0','0','2'
'0','0','1','0','1','1','1','0','1','1','2'
'0','1','1','1','1','1','1','0','1','1','2'
'1','0','0','0','0','1','0','1','0','1','1'
'0','1','1','0','0','0','0','0','1','1','1'
'1','0','1','1','0','1','1','1','1','0','2'
'1','1','1','1','1','1','0','0','1','1','2'
'1','0','1','0','0','1','0','0','1','0','2'
'1','1','0','0','1','1','0','0','1','0','2'
'0','0','1','0','1','1','1','1','0','1','2'
'0','0','1','0','0','1','1','0','1','0','2'
'0','1','1','0','0','0','1','0','0','1','1'
'1','0','1','1','1','0','1','1','0','1','2'
'0','0','1','0','0','0','1','0','1','0','2'
'0','1','1','1','1','0','1','1','1','1','2'
'0','0','1','0','1','0','0','1','0','1','2'
'1','0','1','1','1','1','1','0','1','1','2'
'1','0','0','1','1','0','0','1','0','1','2'
'0','0','1','0','0','0','1','1','1','1','2'
'1','1','0','0','0','1','0','0','1','0','1'
'1','0','1','0','1','0','0','1','0','1','2'
'1','0','1','0','0','0','0','1','0','0','1'
'0','1','1','0','0','1','1','0','0','0','2'
'0','0','0','0','1','0','0','1','0','0','1'
'0','1','1','1','1','1','0','1','0','0','2'
'0','0','0','0','1','0','1','0','0','0','1'
'0','1','1','1','1','1','1','1','1','1','2'
'1','1','0','0','0','1','1','0','0','1','1'
'0','0','0','1','0','0','1','0','1','0','2'
'1','1','0','0','0','1','0','0','0','0','1'
'1','1','0','1','1','1','1','1','0','1','2'
'1','0','1','1','0','0','1','1','1','0','2'
'0','1','0','1','0','1','0','1','1','0','2'
'0','0','0','0','1','0','1','1','0','1','2'
'1','0','1','1','1','0','1','0','0','0','2'
'0','0','1','0','0','1','1','1','0','0','2'
'1','1','1','0','1','0','1','1','0','0','2'
'0','0','0','1','0','0','0','1','1','1','2'
'0','0','0','0','1','1','1','1','1','1','2'
'1','1','0','0','1','1','0','1','0','1','2'
'0','1','0','0','1','0','1','0','0','1','1'
'0','1','0','0','0','0','0','1','1','1','1'
'1','0','1','0','1','0','0','1','0','0','2'
'0','1','1','0','0','1','0','1','1','0','2'
'0','1','0','1','0','1','1','1','0','0','2'
'1','0','0','0','0','0','1','1','0','1','1'
'1','1','0','1','1','0','0','0','1','0','2'
'0','0','1','1','0','0','1','0','0','1','2'
'1','1','1','0','1','1','0','0','0','0','2'
'0','1','0','1','0','0','1','1','0','0','2'
'1','1','0','0','1','0','1','0','0','1','1'
'1','1','1','1','0','0','1','0','0','0','2'
'0','0','0','1','0','0','0','0','1','1','1'
'1','1','1','0','0','1','0','1','1','1','2'
'1','0','0','1','0','1','1','0','1','1','2'
'1','0','1','0','1','1','0','0','1','1','2'
'0','1','0','1','1','1','0','1','0','1','2'
'1','0','1','0','1','1','1','0','1','1','2'
'1','0','1','0','0','0','0','1','0','1','1'
'1','1','0','0','0','0','1','1','0','1','1'
'1','1','1','0','0','0','1','1','1','0','2'
'1','0','0','1','0','1','0','0','0','1','1'
'0','0','0','0','1','0','0','1','1','1','2'
'0','0','0','0','1','1','1','0','1','1','2'
'1','1','1','1','1','0','0','1','0','1','2'
'0','1','1','0','0','1','1','0','0','1','2'
'0','0','1','0','1','0','0','0','0','1','1'
'1','1','0','1','1','1','1','0','0','0','2'
'0','1','1','0','0','0','1','1','0','1','2'
'1','0','1','1','1','0','1','1','1','1','2'
'1','0','1','0','1','0','0','1','1','0','2'
'0','0','0','1','1','0','0','1','0','0','2'
'1','0','1','1','1','1','0','1','1','0','2'
'1','0','1','0','0','0','1','1','0','1','2'
'0','1','1','0','1','0','0','0','0','0','1'
'0','1','1','1','0','1','0','1','1','1','2'
'0','1','0','1','0','1','0','0','0','0','1'
'0','1','1','0','1','1','0','1','1','0','2'
'0','0','1','1','1','1','0','1','1','1','2'
'1','0','0','1','0','0','0','0','1','0','1'
'0','0','0','1','1','1','0','0','0','0','2'
'0','1','0','0','0','0','1','0','1','1','1'
'1','1','1','1','1','1','1','1','0','1','2'
'1','1','1','0','0','1','1','0','1','0','2'
'1','1','0','1','0','0','0','0','0','1','1'
'0','1','1','0','1','1','1','1','1','0','2'
'1','0','0','0','0','1','1','0','1','0','2'
'1','0','0','0','0','1','1','1','0','1','2'
'1','1','1','0','0','1','1','1','0','0','2'
'1','1','0','1','1','0','0','1','0','1','2'
'1','0','0','0','1','1','0','1','1','0','2'
'1','1','0','1','1','0','1','0','1','1','2'
'1','0','0','1','0','0','0','1','0','0','1'
'0','0','0','1','0','1','0','1','0','0','2'
'0','0','1','1','1','0','1','1','0','1','2'
'0','0','1','1','1','1','0','0','0','1','2'
'0','0','1','1','0','1','0','0','1','1','2'
'1','0','1','0','0','1','1','1','0','0','2'
'1','1','1','0','0','0','1','0','1','1','2'
'0','1','1','0','0','1','1','1','0','1','2'
'1','0','1','1','0','1','1','0','1','1','2'
'1','1','1','1','1','1','0','1','1','1','2'
'0','1','1','1','0','0','1','0','0','0','2'
'0','1','0','0','1','1','0','0','0','1','1'
'0','1','1','0','0','0','1','1','1','1','2'
'1','0','1','1','1','1','0','0','1','1','2'
'1','1','0','1','0','0','1','0','0','1','1'
'0','0','1','0','1','1','1','1','1','0','2'
'1','0','0','0','0','0','0','0','0','0','1'
'0','0','1','0','0','1','1','0','0','1','2'
'0','1','1','0','1','1','1','1','0','1','2'
'1','1','0','0','0','1','1','1','0','1','2'
'1','1','1','0','0','0','1','1','0','1','2'
'0','0','1','0','0','1','0','0','0','0','1'
'1','1','0','0','0','1','0','0','0','1','1'
'1','0','0','0','0','0','0','1','0','1','1'
'1','1','1','0','1','1','1','0','1','0','2'
'0','0','0','1','0','0','0','0','0','0','1'
'0','1','1','1','0','0','1','1','0','0','2'
'1','1','0','0','1','0','0','0','0','1','1'
'0','1','1','0','1','1','0','1','0','0','2'
'0','1','0','0','1','0','0','0','0','0','1'
'0','1','1','1','1','1','0','1','1','0','2'
'1','0','1','1','1','0','1','0','1','0','2'
'0','1','0','0','1','0','0','0','1','0','1'
'1','0','1','1','1','1','1','0','0','0','2'
'0','1','1','1','1','0','0','1','0','1','2'
'1','1','1','0','1','0','1','1','1','1','2'
'0','0','0','1','1','0','0','1','0','1','2'
'0','0','0','0','0','0','1','1','1','1','2'
'1','1','1','1','0','0','0','0','0','0','1'
'1','0','0','1','1','0','1','0','1','0','2'
'0','0','1','1','1','1','1','0','1','0','2'
'0','1','0','0','1','1','0','0','1','1','2'
'0','0','1','1','0','0','0','0','1','1','2'
'0','1','1','1','1','0','0','0','1','1','2'
'1','1','1','1','1','1','1','0','0','1','2'
'0','1','1','0','1','1','0','1','0','1','2'
'0','1','1','1','0','1','1','1','0','0','2'
'0','1','1','1','1','0','1','1','0','1','2'
'1','1','1','1','1','0','1','0','0','1','2'
'1','1','0','0','0','1','1','0','1','1','2'
'1','0','1','0','0','0','1','0','0','0','1'
'1','0','1','1','1','0','0','1','1','0','2'
'1','0','1','0','0','0','1','0','0','1','1'
'1','1','0','1','1','1','1','0','0','1','2'
'0','0','1','0','0','0','1','0','1','1','2'
'0','1','0','1','1','1','1','1','1','0','2'
'1','0','1','1','0','1','0','1','0','0','2'
'1','0','1','0','1','0','0','0','1','1','2'
'1','1','0','1','0','1','1','0','1','1','2'
'0','0','1','1','1','1','0','1','0','0','2'
'1','0','1','1','0','1','1','0','1','0','2'
'0','0','1','0','0','1','0','0','0','1','1'
'1','0','0','1','0','1','0','1','1','1','2'
'1','0','1','1','1','0','0','1','1','1','2'
'1','0','0','0','0','1','0','1','1','1','2'
'1','0','0','0','0','1','1','1','0','0','2'
'0','1','1','0','1','1','1','0','1','0','2'
'1','1','1','0','1','0','1','0','0','1','2'
'1','1','1','1','1','1','0','0','1','0','2'
'0','1','0','1','1','0','1','0','1','0','2'
'1','0','1','1','1','0','0','0','0','0','2'
'0','0','0','1','1','1','0','1','1','0','2'
'1','1','0','1','1','1','1','0','1','1','2'
'1','0','1','1','0','0','1','0','1','1','2'
'1','1','1','0','0','0','0','0','1','1','1'
'1','0','0','1','0','1','0','0','1','1','2'
'1','0','0','1','1','1','0','0','0','0','2'
'0','0','1','1','0','1','0','0','0','1','2'
'1','1','1','1','0','1','0','1','0','0','2'
'0','0','0','0','1','1','0','0','1','0','2'
'1','1','0','1','1','1','1','1','0','0','2'
'0','1','1','0','1','0','1','0','0','0','2'
'1','1','0','0','1','1','1','0','0','0','2'
'1','1','0','1','0','1','1','1','0','1','2'
'0','0','1','0','1','1','0','1','0','1','2'
'1','0','0','0','1','0','1','0','1','1','2'
'0','0','0','0','0','0','0','1','1','0','1'
'1','0','0','0','1','1','1','1','0','0','2'
'1','1','1','1','0','1','1','0','1','1','2'
'1','0','1','0','1','0','1','1','1','0','2'
'1','1','0','0','0','1','0','1','1','1','2'
'0','0','0','0','1','0','1','1','1','0','2'
'0','0','1','0','0','0','0','0','0','1','1'
'0','1','0','0','0','0','0','0','1','1','1'
'1','0','0','0','1','1','0','0','0','0','1'
'1','1','1','0','0','0','0','1','1','1','2'
'0','1','1','1','0','1','1','0','0','1','2'
'0','0','0','0','0','1','0','0','1','1','1'
'0','1','1','1','0','1','0','1','0','1','2'
'1','1','1','1','1','0','1','0','1','1','2'
'1','0','0','0','1','0','0','1','1','0','2'
'0','0','0','0','0','1','1','0','1','1','2'
'1','0','1','0','0','1','1','1','0','1','2'
'0','0','1','0','0','0','0','0','1','1','1'
'0','0','1','0','1','1','0','1','1','0','2'
'0','0','0','0','0','0','0','0','0','1','1'
'1','0','0','1','0','0','0','0','1','1','1'
'1','1','0','1','1','0','1','0','1','0','2'
'0','0','0','0','0','1','0','1','1','1','2'
'0','0','0','0','0','0','0','0','0','0','1'
'0','1','0','0','1','1','1','1','1','1','2'
'1','0','0','1','1','0','0','0','1','1','2'
'1','1','0','1','1','1','0','1','0','0','2'
'0','0','1','0','1','1','0','1','0','0','2'
'0','1','0','0','0','1','1','0','1','1','2'
'0','0','0','1','0','0','0','0','1','0','1'
'1','1','1','1','0','0','1','1','1','0','2'
'0','1','1','0','0','1','0','0','1','0','2'
'0','0','1','1','0','0','0','0','1','0','2'
'0','1','0','0','0','0','1','0','0','0','1'
'0','1','0','0','0','0','0','1','1','0','1'
'1','0','0','1','0','0','1','1','1','1','2'
'0','0','1','0','1','1','0','1','1','1','2'
'0','1','1','0','1','0','1','0','1','0','2'
'0','0','0','0','0','1','1','1','1','0','2'
'1','1','0','0','1','1','1','1','1','0','2'
'1','0','0','1','0','0','1','0','1','1','2'
'0','1','0','0','0','0','1','1','0','1','1'
'1','0','0','0','0','0','1','1','0','0','1'
'0','1','1','1','1','0','0','1','0','0','2'
'0','0','0','0','1','0','1','0','0','1','1'
'0','0','1','1','1','1','1','1','1','1','2'
'0','0','0','1','0','1','1','0','1','0','2'
'1','0','0','1','0','1','0','1','1','0','2'
'1','0','0','0','1','0','1','0','1','0','2'
'1','0','0','1','1','1','1','0','1','0','2'
'1','1','1','0','0','0','0','1','1','0','2'
'0','0','0','1','1','0','0','1','1','1','2'
'0','1','1','1','0','0','1','0','0','1','2'
'1','0','0','0','0','1','1','1','1','0','2'
'1','0','0','0','0','1','0','0','0','1','1'
'1','0','0','0','1','0','1','0','0','0','1'
'1','1','0','0','0','0','1','1','1','1','2'
'1','0','0','1','0','0','1','0','0','1','1'
'0','1','0','1','1','1','0','0','0','1','2'
'0','0','0','1','1','1','0','1','1','1','2'
'0','0','1','0','0','1','0','0','1','1','2'
'1','0','0','0','0','0','0','0','1','0','1'
'1','0','0','1','0','0','0','0','0','0','1'
'0','1','1','0','0','0','1','0','1','0','2'
'1','0','0','0','1','0','0','1','1','1','2'
'1','1','0','0','0','0','0','1','0','0','1'
'0','1','1','0','1','0','0','1','0','1','2'
'0','1','0','1','0','1','0','1','1','1','2'
'0','0','0','1','0','1','0','1','1','0','2'
'1','0','0','0','0','1','1','0','0','0','1'
'0','0','1','1','1','0','0','0','0','1','2'
'1','1','1','0','0','0','1','1','1','1','2'
'0','0','0','0','1','0','0','0','1','0','1'
'0','0','1','1','0','0','0','1','1','1','2'
'1','1','1','1','0','1','1','1','1','0','2'
'0','0','1','1','0','1','1','1','0','1','2'
'0','1','0','1','1','1','0','0','1','0','2'
'1','1','1','0','0','0','0','0','0','1','1'
'0','0','1','0','1','0','1','1','0','0','2'
'1','1','0','0','0','1','0','1','0','1','1'
'1','1','0','1','0','0','1','1','1','1','2'
'1','0','0','1','1','1','0','1','1','0','2'
'0','0','1','0','0','1','0','1','0','1','2'
'1','0','1','1','1','0','0','1','0','1','2'
'0','0','1','0','0','1','0','1','0','0','2'
'1','1','1','0','0','1','0','0','0','0','1'
'1','1','0','0','0','0','0','0','0','1','1'
'0','1','1','1','1','1','0','1','0','1','2'
'1','0','1','0','1','1','0','1','0','1','2'
'1','1','1','1','0','1','1','1','0','0','2'
'1','1','0','1','0','0','0','0','1','1','1'
'1','1','0','1','1','1','0','0','1','1','2'
'0','1','1','0','0','0','1','0','1','1','2'
'0','0','1','1','0','0','0','0','0','1','1'
'0','1','0','0','1','1','0','0','0','0','1'
'1','1','0','1','0','0','1','0','1','1','2'
'1','1','0','0','1','1','0','1','1','1','2'
'1','0','1','0','1','0','0','1','1','1','2'
'1','0','0','1','1','0','1','0','0','0','2'
'1','0','0','1','0','0','0','1','1','0','2'
'0','1','0','1','0','0','0','0','0','1','1'
'0','0','1','0','1','1','1','1','1','1','2'
'1','1','0','1','1','1','0','0','0','1','2'
'0','1','1','1','0','0','1','1','0','1','2'
'1','0','0','1','1','0','1','1','1','1','2'
'1','0','0','1','1','1','0','1','1','1','2'
'1','1','0','1','0','1','1','1','1','0','2'
'1','0','0','0','1','0','1','1','1','0','2'
'1','1','0','0','1','1','0','1','0','0','2'
'0','1','1','1','1','1','0','0','0','1','2'
'1','0','1','0','1','0','0','0','0','1','1'
'0','1','1','0','0','0','0','1','1','0','2'
'0','1','1','1','1','0','1','1','1','0','2'
'0','0','0','0','0','0','0','1','0','0','1'
'1','0','1','1','1','0','0','0','1','1','2'
'1','1','1','0','0','1','0','1','1','0','2'
'0','0','1','0','1','0','0','0','1','1','2'
'0','1','0','1','1','0','0','0','0','1','1'
'0','1','0','0','1','0','1','0','1','1','2'
'1','0','1','0','1','1','0','1','1','0','2'
'1','1','1','0','1','1','0','0','1','0','2'
'0','1','1','0','0','1','1','1','0','0','2'
'1','0','1','0','1','1','1','1','1','0','2'
'0','1','1','1','1','1','0','0','1','0','2'
'1','1','0','0','0','0','0','1','0','1','1'
'0','0','0','1','0','1','1','0','0','1','2'
'0','1','0','1','0','0','0','0','1','1','1'
'0','1','1','1','1','1','0','0','1','1','2'
'0','0','0','0','1','0','0','1','0','1','1'
'1','0','1','0','1','1','0','0','0','0','2'
'1','1','1','0','0','1','0','1','0','1','2'
'1','0','1','1','1','0','0','0','0','1','2'
'1','0','1','0','1','1','0','1','1','1','2'
'1','1','0','0','1','0','0','1','1','1','2'
'1','0','0','1','0','0','1','0','0','0','1'
'0','1','0','0','0','1','0','0','0','0','1'
'0','1','1','0','0','0','0','1','0','1','1'
'0','0','0','0','1','0','0','1','1','0','2'
'0','0','0','0','1','1','1','0','0','0','2'
'0','1','0','0','0','0','1','0','0','1','1'
'1','1','1','0','1','0','1','1','0','1','2'
'1','1','1','1','0','1','1','0','1','0','2'
'1','1','0','1','0','1','0','0','1','0','2'
'0','0','0','1','0','0','1','1','1','1','2'
'0','1','1','1','0','0','0','0','1','0','2'
'0','0','1','1','0','0','0','1','1','0','2'
'0','0','0','0','0','1','0','0','0','0','1'
'1','1','1','0','0','0','1','1','0','0','2'
'1','1','0','0','0','1','1','0','0','0','1'
'0','0','0','1','0','0','1','1','0','1','2'
'0','0','1','1','1','0','1','0','1','1','2'
'1','1','0','1','1','0','0','1','1','0','2'
'0','1','0','1','1','1','0','1','0','0','2'
'0','1','1','0','1','1','0','0','0','0','2'
'1','0','0','0','1','1','1','0','1','0','2'
'1','1','0','0','0','0','1','0','0','0','1'
'1','1','0','0','0','0','0','1','1','1','1'
'0','0','0','0','1','0','1','0','1','1','2'
'0','1','0','0','0','0','0','0','0','1','1'
'0','1','1','1','0','0','0','0','1','1','2'
'1','0','0','1','0','0','1','0','1','0','2'
'0','1','0','1','0','0','1','1','1','1','2'
'0','1','0','0','1','0','1','1','1','0','2'
'0','1','1','0','1','1','0','1','1','1','2'
'0','0','1','1','0','1','1','1','0','0','2'
'0','1','0','0','0','1','1','1','1','0','2'
'1','0','0','0','0','0','0','0','0','1','1'
'0','0','1','1','1','0','0','1','0','1','2'
'1','1','1','1','1','1','0','1','0','0','2'
'0','0','1','0','0','1','1','0','1','1','2'
'1','1','1','0','0','1','0','0','0','1','1'
'1','1','1','0','0','0','1','0','0','0','1'
'1','1','0','1','0','1','0','1','0','1','2'
'0','1','0','1','0','1','0','1','0','1','2'
'1','1','0','1','0','0','0','1','1','1','2'
'1','0','0','1','1','0','0','1','1','1','2'
'1','0','1','1','1','0','1','0','1','1','2'
'1','1','0','1','0','1','1','0','0','1','2'
'0','0','0','1','0','0','1','0','1','1','2'
'0','1','1','1','1','0','1','0','0','0','2'
'0','1','0','0','0','1','1','0','0','0','1'
'0','0','0','0','0','0','1','1','0','1','1'
'1','1','1','0','0','1','1','1','1','1','2'
'1','0','0','0','0','1','0','0','0','0','1'
'0','0','0','1','1','0','0','0','1','0','2'
'1','0','1','0','1','0','1','0','1','0','2'
'0','0','1','1','1','0','0','0','1','0','2'
'1','1','1','0','0','0','0','1','0','1','1'
'1','1','0','1','1','0','0','0','0','1','1'
'0','0','0','0','1','1','0','1','1','0','2'
'1','0','1','1','0','1','1','1','0','1','2'
'0','1','1','0','1','0','1','1','1','1','2'
'0','1','0','0','0','1','1','0','0','1','1'
'0','1','1','1','0','0','0','0','0','0','1'
'0','1','0','1','0','1','0','0','0','1','1'
'1','1','1','1','1','0','0','0','0','1','2'
'0','1','0','1','0','1','0','0','1','1','2'
'0','1','0','0','1','0','1','0','1','0','2'
'1','1','0','1','0','0','0','1','0','1','1'
'1','0','0','0','1','1','0','0','1','0','2'
'1','1','0','1','0','0','0','0','0','0','1'
'0','0','1','0','1','1','0','0','0','1','2'
'0','0','0','0','0','0','0','0','1','0','1'
'0','1','0','1','0','1','1','1','0','1','2'
'0','0','0','0','1','1','0','0','1','1','2'
'0','1','0','1','1','0','1','1','0','0','2'
'1','1','1','1','1','1','1','0','1','1','2'
'0','1','1','0','0','1','0','0','1','1','2'
'1','1','0','0','1','0','0','0','0','0','1'
'0','0','0','0','0','1','0','1','0','1','1'
'1','1','0','0','1','1','0','0','0','0','1'
'1','1','0','1','1','0','0','0','1','1','2'
'1','0','1','1','0','0','0','1','1','1','2'
'0','1','0','1','0','1','1','0','1','0','2'
'0','1','0','1','0','0','1','1','0','1','2'
'0','0','1','0','1','1','0','0','0','0','2'
'0','1','1','0','0','1','1','1','1','1','2'
'0','1','1','1','1','0','1','0','1','1','2'
'1','0','1','1','0','1','0','1','1','0','2'
'1','1','0','1','0','1','0','0','1','1','2'
'0','1','1','0','1','1','1','0','1','1','2'
'1','0','1','1','0','1','0','1','0','1','2'
'0','0','0','1','1','1','1','1','0','0','2'
'1','1','0','0','1','0','1','0','1','0','2'
'1','0','0','1','0','1','1','0','0','1','2'
'1','1','1','0','1','1','1','1','0','1','2'
'0','0','0','1','0','0','1','1','0','0','2'
'0','0','0','0','0','0','1','0','0','0','1'
'1','0','1','0','0','1','0','0','0','1','1'
'1','1','1','1','1','0','0','1','0','0','2'
'1','1','0','1','0','0','1','0','0','0','1'
'0','1','1','1','1','1','1','1','0','0','2'
'0','1','1','1','1','0','1','0','1','0','2'
'1','1','1','1','0','0','1','0','1','1','2'
'0','0','1','1','1','0','0','1','0','0','2'
'1','1','1','1','1','1','0','0','0','0','2'
'0','1','0','1','0','1','0','1','0','0','2'
'1','0','0','1','0','0','0','1','0','1','1'
'0','0','0','1','0','1','0','0','0','1','1'
'0','0','0','0','0','0','1','0','1','1','1'
'0','1','0','1','1','0','0','1','1','1','2'
'0','0','1','1','1','1','0','0','0','0','2'
'1','0','0','1','1','0','1','0','0','1','2'
'1','1','0','1','1','0','1','1','1','0','2'
'0','1','0','1','0','0','0','0','1','0','1'
'0','0','0','0','0','0','0','1','1','1','1'
'1','1','0','0','1','1','0','0','1','1','2'
'0','1','1','0','1','0','0','1','1','1','2'
'0','1','0','0','0','1','0','0','1','1','1'
'1','0','0','0','0','1','0','1','1','0','2'
'1','0','0','1','1','1','1','0','1','1','2'
'0','0','1','0','0','0','1','1','0','0','2'
'0','0','1','0','1','1','0','0','1','0','2'
'0','1','1','1','1','1','1','0','0','0','2'
'1','1','0','0','1','0','0','1','0','0','1'
'0','1','0','1','0','1','1','0','0','0','2'
'0','0','1','1','0','1','1','0','1','1','2'
'0','1','1','0','0','1','0','0','0','1','1'
'1','1','1','0','1','0','0','0','0','1','1'
'1','0','0','0','1','1','1','0','0','1','2'
'1','0','0','0','1','0','1','1','1','1','2'
'0','1','0','0','1','1','1','1','0','0','2'
'1','0','0','0','0','0','0','1','1','0','1'
'0','0','0','1','1','0','0','0','1','1','2'
'0','1','1','1','0','1','0','0','0','0','2'
'0','1','0','1','0','0','0','1','0','0','1'
'0','0','1','0','0','1','1','0','0','0','2'
'0','1','1','1','0','1','0','0','1','1','2'
'1','0','1','1','1','1','0','1','0','0','2'
'0','1','1','0','1','0','1','1','0','0','2'
'0','0','1','1','0','1','0','1','1','1','2'
'0','0','1','1','0','1','1','0','0','0','2'
'0','1','1','1','1','1','0','1','1','1','2'
'0','1','1','1','0','1','0','0','0','1','2'
'1','0','0','1','1','0','1','1','0','1','2'
'0','0','0','1','1','0','1','0','0','1','2'
'1','1','0','0','1','1','1','0','0','1','2'
'0','0','0','1','1','1','1','0','1','1','2'
'1','0','0','1','1','1','1','0','0','0','2'
'0','1','0','0','0','0','1','1','1','1','2'
'1','1','1','1','0','0','0','1','1','0','2'
'0','0','1','0','0','1','0','1','1','0','2'
'0','0','0','1','1','1','1','1','1','1','2'
'1','0','1','1','0','1','0','0','0','1','2'
'1','0','1','1','1','0','1','1','1','0','2'
'1','1','1','1','0','1','0','1','1','0','2'
'1','1','1','1','1','1','1','1','0','0','2'
'0','1','0','1','0','0','0','1','0','1','1'
'1','0','0','0','0','1','1','0','1','1','2'
'0','0','0','0','1','0','0','0','0','0','1'
'0','1','0','1','0','0','0','1','1','0','2'
'1','0','0','0','0','1','1','1','1','1','2'
'0','1','0','1','1','1','0','1','1','1','2'
'1','0','1','0','0','1','1','0','1','0','2'
'1','0','0','0','0','1','0','0','1','0','1'
'0','0','0','0','0','0','1','0','1','0','1'
'0','0','1','1','0','1','0','1','0','0','2'
'1','1','1','0','0','0','0','0','1','0','1'
'0','1','0','1','0','0','0','0','0','0','1'
'0','1','0','1','0','0','1','1','1','0','2'
'1','0','0','0','1','1','0','0','0','1','1'
'0','0','1','0','0','0','1','0','0','1','1'
'0','0','0','1','1','1','0','0','1','0','2'
'1','0','1','1','1','0','1','1','0','0','2'
'1','0','1','0','1','1','0','0','1','0','2'
'1','0','1','1','0','1','0','0','1','1','2'
'1','0','0','1','0','0','0','0','0','1','1'
'0','1','1','0','1','1','1','0','0','0','2'
'0','1','1','1','1','1','0','0','0','0','2'
'1','0','1','0','0','0','0','0','0','0','1'
'0','1','0','1','0','0','0','1','1','1','2'
'1','0','1','0','0','0','0','1','1','1','2'
'1','0','1','0','1','0','1','0','1','1','2'
'1','0','0','1','0','1','1','0','1','0','2'
'1','1','1','1','1','1','1','1','1','1','2'
'0','1','0','0','0','1','0','0','0','1','1'
'0','0','1','1','1','0','1','0','1','0','2'
'0','0','1','1','0','0','1','0','1','1','2'
'1','1','1','1','1','0','0','0','1','0','2'
'0','1','1','0','1','1','0','0','0','1','2'
'1','1','1','1','1','0','0','1','1','1','2'
'0','1','1','0','1','0','0','1','1','0','2'
'0','0','1','1','0','1','1','0','0','1','2'
'1','0','0','1','1','1','1','1','0','0','2'
'0','0','0','1','1','0','1','1','0','1','2'
'0','0','1','0','0','1','1','1','0','1','2'
'1','0','1','1','1','1','1','1','0','1','2'
'1','1','0','0','0','0','1','1','0','0','1'
'1','1','1','0','0','0','1','0','1','0','2'
'0','1','0','1','0','1','1','1','1','1','2'
'0','0','1','0','0','1','0','1','1','1','2'
'0','1','0','0','0','0','0','0','1','0','1'
'1','0','1','0','0','1','1','0','0','0','2'
'0','0','1','1','1','0','0','1','1','0','2'
'0','1','1','0','1','1','0','0','1','1','2'
'0','0','1','0','0','0','1','1','1','0','2'
'1','0','1','1','0','0','0','1','0','1','2'
'0','0','0','1','1','1','0','0','1','1','2'
'1','1','0','0','0','0','1','0','1','0','1'
'1','1','0','0','0','1','0','0','1','1','1'
'1','1','0','1','1','1','0','0','0','0','2'
'1','1','0','0','1','1','1','1','0','1','2'
'0','0','0','1','1','1','1','1','0','1','2'
'0','0','1','0','1','0','1','0','1','1','2'
'0','1','1','0','0','1','1','0','1','0','2'
'1','1','0','1','0','1','1','0','0','0','2'
'1','0','1','0','0','0','1','1','0','0','2'
'0','0','0','0','1','1','0','1','0','0','2'
'1','0','0','0','0','0','1','0','1','1','1'
'1','0','0','0','0','0','1','1','1','1','2'
'1','1','1','1','0','0','0','0','1','0','2'
'1','1','1','1','1','0','1','1','1','1','2'
'1','1','1','1','1','0','1','1','1','0','2'
'1','0','0','0','1','1','0','1','1','1','2'
'1','1','1','0','0','1','1','0','1','1','2'
'1','1','1','0','1','1','1','1','1','0','2'
'0','1','1','1','0','1','1','1','0','1','2'
'0','0','0','0','0','1','1','0','0','0','1'
'0','0','0','0','0','0','1','1','0','0','1'
'0','1','0','0','0','0','1','0','1','0','1'
'1','0','1','0','1','0','0','0','1','0','2'
'0','0','0','1','0','1','1','1','1','1','2'
'0','0','0','0','0','0','0','0','1','1','1'
'0','1','0','0','1','1','0','0','1','0','2'
'1','0','1','0','1','1','0','1','0','0','2'
'0','0','1','1','0','1','0','0','0','0','2'
'1','0','1','1','1','1','1','1','0','0','2'
'0','0','0','0','1','0','1','0','1','0','2'
'0','0','0','0','1','1','0','1','1','1','2'
'1','0','0','0','1','0','1','0','0','1','1'
'0','0','0','1','0','1','0','0','1','0','2'
'1','1','0','0','0','0','0','0','1','1','1'
'0','0','0','1','0','0','0','0','0','1','1'
'1','0','0','1','1','0','0','0','0','0','1'
'1','1','0','0','1','0','1','1','0','1','2'
'0','1','0','0','1','1','0','1','0','1','2'
'0','0','0','1','0','0','1','0','0','0','1'
'0','0','1','1','0','1','0','0','1','0','2'
'1','0','0','1','0','1','0','1','0','0','2'
'0','0','0','0','1','1','0','0','0','1','1'
'0','0','0','1','1','1','1','0','1','0','2'
'1','1','1','1','0','0','1','1','0','0','2'
'0','1','0','0','0','1','1','0','1','0','2'
'0','0','1','1','0','1','0','1','1','0','2'
'0','1','0','0','1','0','0','1','0','0','1'
'0','0','0','1','0','0','0','1','0','1','1'
'1','1','1','0','0','1','0','1','0','0','2'
'0','1','1','0','1','0','0','0','1','0','2'
'0','1','0','0','1','0','1','1','0','0','2'
'1','0','1','1','0','0','0','0','0','1','1'
'1','0','1','0','1','0','1','1','0','1','2'
'1','0','1','1','0','0','0','0','1','1','2'
'0','1','0','0','0','0','0','0','0','0','1'
